,Name,Address,Price,Rating,Amenities
109,Capital O 14244 Loya Legend,"Near ISKCON Temple, Abids,Hyderabad",1530.0,4.4 ,"Center Table, Center Table, Fan"
110,OYO 14224 Happy Guest house,"Near Star Super Market, Banjara Hills, Hyderabad",1561.0,4.4 ,"Center Table, Parking Facility, Center Table"
111,OYO 28637 Gokul Grand,"Near ShivBagh, Ameerpet, Hyderabad",1561.0,4.1 ,"Power backup, Daily Housekeeping, AC"
112,OYO 14859 Akshara grand,"Near Doctor colony, Kothapet, Hyderabad",1683.0,4.4 ,"Parking Facility, Center Table, Free Wifi"
113,Capital O 65104 Che Sigma Hotel,"Near Narayana High School, Chinthalkunta, Hyderabad",1813.0,4.4 ,"Parking Facility, Reception, Fan"
114,OYO 600 Hotel Skyhy,"Near Old MLA Quarters, Himayathnagar, Hyderabad",1824.0,4.0 ,"Parking Facility, Study Table with Lamp, Free Wifi"
115,OYO 1410 Country Club Begumpet,"Near Railway Station, Begumpet, Hyderabad",1860.0,3.7 ,"Parking Facility, Study Table with Lamp, Power backup"
116,OYO 897 Hotel Surabhi Elite,"Near White House, Kothapet, Hyderabad",1921.0,4.0 ,"Parking Facility, Center Table, Free Wifi"
117,Capital O 29894 Royal Emirates,"Near Apollo Hospital, Jubilee Hill, Hyderabad",1984.0,3.9 ,"Reception, Power backup, 24/7 Checkin"
118,OYO 22737 Chandra Grand Hotel,"Near Reliance Fresh, Nacharam, Hyderabad",1991.0,3.6 ,"Parking Facility, Reception, Free Wifi"
119,Capital O 71843 Grand Sindhura,"Near Karachi Bakery, Hyderabad",2164.0,4.3 ,"Center Table, Reception, Fan"
120,CAPITAL O75039 Hotel Quality Inn ,"Hyderabad , Hyderabad",2164.0,4.1 ,"Parking Facility, Reception, Free Wifi"
121,OYO Home 47339 Comfortable Stays,"Near Dilshuknagar Metro Station, Karan Bagh, Hyderabad",,4.5 ,"Free Wifi, Hot Water, Refrigerator"
122,OYO Flagship 75583 Thatipally Mansion,"Kothapet Road, Mohan Nagar, Hyderabad",,4.4 ,"Reception, Free Wifi, Power backup"
123,OYO 72073 Imperial Guest House,"Near Yashoda Hospital, Somajiguda, Hyderabad",,NEW,"Parking Facility, Reception, Free Wifi"
124,OYO 41665 Hotel Grand Marvel Residency,"Near Yashoda Hospital Somajiguda, Hyderabad",,3.6 ,"Private Entrance, Reception, Free Wifi"
125,OYO Townhouse 269 Sunrise Apartment Begumpet,"Near Methodist Colony, Begumpet, Hyderabad",,4.4 ,"Parking Facility, Private Entrance, Reception"
